"Timing","Year","Reduction"
"March",2013,51.6960014398349
"March",2013,92.5381018648374
"March",2013,88.6165645980669
"March",2013,78.758751804073
"March",2013,94.6225369388485
"March",2013,93.4538411004305
"March",2013,92.6763151338731
"March",2013,93.8673574651697
"March",2013,80.5023988345466
"March",2013,89.2064358221769
"March",2013,89.9163127342811
"March",2013,86.254301629171
"March",2013,82.1845911213992
"March",2013,93.7734278049165
"March",2013,90.9916623774605
"March",2013,78.5714003584033
"March",2013,52.1977815144162
"March",2013,89.9483694835953
"March",2013,81.2009939500258
"March",2013,86.5549212413744
"March",2013,88.3547089529104
"March",2013,94.4867033320135
"March",2013,91.032649626095
"March",2013,88.9743088992594
"March",2013,93.3140481713773
"March",2013,85.1656137339775
"March",2013,86.4911785716324
"March",2013,87.4527877479854
"March",2013,92.4201125262745
"March",2013,84.3553911562066
"March",2013,93.5000873850307
"March",2013,93.9452847988958
"March",2013,90.1015357856183
"March",2013,94.0260140628391
"March",2013,75.3693182648632
"March",2013,93.6804604289809
"March",2013,92.4636495589501
"March",2013,94.4941678157302
"March",2013,89.934620515737
"March",2013,93.6345090345519
"March",2013,94.2019712483881
"March",2013,79.9244493660669
"March",2013,91.4680025485211
"March",2013,94.1435269927802
"March",2013,91.3825460351258
"March",2013,88.0000014848746
"March",2013,83.4962653604353
"March",2013,88.0284748404935
"March",2013,65.9389969149654
"March",2013,88.1300988202368
"March",2013,94.6403580917878
"March",2013,90.3414028236884
"March",2013,74.6077780340231
"March",2013,82.6504755816017
"March",2013,94.4545361284052
"March",2013,90.0405384129446
"March",2013,93.1673320032414
"March",2013,77.5222541841525
"March",2013,92.3727102710712
"March",2013,93.2758012438836
"March",2013,64.652599136511
"March",2013,94.0176271677702
"March",2013,79.6444517441829
"March",2013,94.3194516102526
"March",2013,94.0819922929783
"March",2013,92.9027627737152
"March",2013,93.2262860113286
"March",2013,94.4952072273749
"March",2013,94.1997989847839
"March",2013,80.2891137980417
"March",2013,87.7982547798455
"March",2013,94.0805263433057
"March",2013,90.312913002325
"March",2013,84.2959098706286
"March",2013,90.8023487579666
"March",2013,89.3735722038189
"March",2013,92.2450055576169
"March",2013,91.3914634695675
"March",2013,47.6361146098156
"March",2013,87.946877176799
"March",2013,84.8085409232559
"March",2013,92.4497144048529
"March",2013,93.0712339668648
"March",2013,92.7085502069276
"March",2013,86.7307461368752
"March",2013,90.3518778863092
"March",2013,93.5400097056933
"March",2013,86.4018338794289
"March",2013,93.7620696499172
"March",2013,76.0250862668162
"March",2013,91.0585629707306
"March",2013,88.4088477720154
"March",2013,90.525721635752
"March",2013,92.9899353072234
"March",2013,90.3223150745108
"March",2013,88.0488128387374
"March",2013,63.905800081623
"March",2013,92.8832787825982
"March",2013,85.5400922669449
"March",2013,87.1531653294519
"March",2013,93.7909231866712
"March",2013,92.4641849657043
"March",2013,87.3296212273694
"March",2013,87.6344916082172
"March",2013,91.2526927231458
"March",2013,88.4404905746917
"March",2013,89.7831407914205
"March",2013,87.7857258319037
"March",2013,92.5636633376507
"March",2013,92.9672047515362
"March",2013,70.8387649287336
"March",2013,92.568998413647
"March",2013,92.1231549025921
"March",2013,94.4498197037667
"March",2013,94.3082037169834
"March",2013,94.1387554188976
"March",2013,60.2439442471708
"March",2013,94.5948559996926
"March",2013,87.9676355263677
"March",2013,92.6846014958067
"March",2013,73.5975927683191
"March",2013,92.0886101981014
"March",2013,92.294276365867
"March",2013,93.5438068239251
"March",2013,93.5224295033644
"March",2013,91.8723778798603
"March",2013,68.9154369662059
"March",2013,92.3396703409445
"March",2013,94.4458936833633
"March",2013,93.8645878346353
"March",2013,93.0945121101895
"March",2013,90.26399428576
"March",2013,90.4248378448453
"March",2013,93.395124994052
"March",2013,78.8463757809346
"March",2013,78.067464629777
"March",2013,86.7978713519883
"March",2013,78.3495436131514
"March",2013,69.9032386129935
"March",2013,77.9288713995154
"March",2013,93.4646212664254
"March",2013,92.4593699202483
"March",2013,73.3467615535451
"March",2013,65.8209634827377
"March",2013,88.511765792974
"March",2013,94.5771175398579
"March",2013,92.7938883516736
"March",2013,93.771465598049
"March",2013,94.4206546036788
"March",2013,92.9981084168342
"March",2013,84.748322213464
"March",2013,82.392098338936
"March",2013,72.062975541559
"March",2013,92.5565762086456
"March",2013,80.4825226346466
"March",2013,93.5268698981362
"March",2013,88.846685673752
"March",2013,89.5807388109814
"March",2013,93.1123722167493
"March",2013,92.5856868611457
"March",2013,62.0169394530249
"March",2013,92.8321026870264
"March",2013,90.7388626761306
"March",2013,87.752166051076
"March",2013,50.1554678261804
"March",2013,82.9641067952539
"March",2013,93.1709066922577
"March",2013,89.6853719079012
"March",2013,87.1577641511446
"March",2013,93.1130736275549
"March",2013,83.3457139493854
"March",2013,94.3084684517329
"March",2013,86.5759418392556
"March",2013,85.8325492479851
"March",2013,89.9654377533664
"March",2013,92.7567008599724
"March",2013,89.544514847348
"March",2013,94.4281143754178
"March",2013,93.8958374551339
"March",2013,94.2966379389714
"March",2013,91.2825141012502
"March",2013,93.3872112191426
"March",2013,94.2851234998764
"March",2013,94.4455736642439
"March",2013,88.790687572484
"March",2013,90.3507809802823
"March",2013,93.5811236344329
"March",2013,93.8036531266228
"March",2013,93.7246027344463
"March",2013,58.1978167080506
"March",2013,94.0967061946965
"March",2013,81.5923159724004
"March",2013,92.6620717550406
"March",2013,44.8174255906044
"March",2013,93.4196992958244
"March",2013,94.1047371030208
"March",2013,90.4379425969122
"March",2013,83.3275158837918
"March",2013,91.2534420888215
"March",2013,93.6685276307539
"March",2013,94.6695400731567
"March",2013,75.5538139294971
"March",2013,93.9138635733038
"March",2013,93.9417608375553
"March",2013,82.2955919361106
